,count,mainCat,neighborhood,year
0,173,assault,Acorn/ Acorn Industrial,2007
1,191,assault,Acorn/ Acorn Industrial,2008
2,98,assault,Acorn/ Acorn Industrial,2009
3,129,assault,Acorn/ Acorn Industrial,2010
4,96,assault,Acorn/ Acorn Industrial,2011
5,129,assault,Acorn/ Acorn Industrial,2012
6,86,assault,Acorn/ Acorn Industrial,2013
7,91,assault,Acorn/ Acorn Industrial,2014
8,35,assault,Acorn/ Acorn Industrial,2015
9,128,assault,Adams Point,2007
10,93,assault,Adams Point,2008
11,51,assault,Adams Point,2009
12,46,assault,Adams Point,2010
13,51,assault,Adams Point,2011
14,68,assault,Adams Point,2012
15,72,assault,Adams Point,2013
16,48,assault,Adams Point,2014
17,28,assault,Adams Point,2015
18,103,assault,Allendale,2007
19,136,assault,Allendale,2008
20,64,assault,Allendale,2009
21,89,assault,Allendale,2010
22,72,assault,Allendale,2011
23,90,assault,Allendale,2012
24,50,assault,Allendale,2013
25,53,assault,Allendale,2014
26,26,assault,Allendale,2015
27,245,assault,Arroyo Viejo,2007
28,231,assault,Arroyo Viejo,2008
29,103,assault,Arroyo Viejo,2009
30,121,assault,Arroyo Viejo,2010
31,115,assault,Arroyo Viejo,2011
32,176,assault,Arroyo Viejo,2012
33,164,assault,Arroyo Viejo,2013
34,130,assault,Arroyo Viejo,2014
35,80,assault,Arroyo Viejo,2015
36,304,assault,Bancroft Business/ Havenscourt,2007
37,379,assault,Bancroft Business/ Havenscourt,2008
38,153,assault,Bancroft Business/ Havenscourt,2009
39,193,assault,Bancroft Business/ Havenscourt,2010
40,160,assault,Bancroft Business/ Havenscourt,2011
41,167,assault,Bancroft Business/ Havenscourt,2012
42,194,assault,Bancroft Business/ Havenscourt,2013
43,185,assault,Bancroft Business/ Havenscourt,2014
44,91,assault,Bancroft Business/ Havenscourt,2015
45,28,assault,Bartlett,2007
46,33,assault,Bartlett,2008
47,10,assault,Bartlett,2009
48,18,assault,Bartlett,2010
49,29,assault,Bartlett,2011
50,16,assault,Bartlett,2012
51,20,assault,Bartlett,2013
52,12,assault,Bartlett,2014
53,8,assault,Bartlett,2015
54,15,assault,Bella Vista,2007
55,19,assault,Bella Vista,2008
56,7,assault,Bella Vista,2009
57,10,assault,Bella Vista,2010
58,5,assault,Bella Vista,2011
59,15,assault,Bella Vista,2012
60,3,assault,Bella Vista,2013
61,8,assault,Bella Vista,2014
62,5,assault,Bella Vista,2015
63,83,assault,Brookfield Village,2007
64,143,assault,Brookfield Village,2008
65,81,assault,Brookfield Village,2009
66,66,assault,Brookfield Village,2010
67,74,assault,Brookfield Village,2011
68,74,assault,Brookfield Village,2012
69,47,assault,Brookfield Village,2013
70,68,assault,Brookfield Village,2014
71,30,assault,Brookfield Village,2015
72,157,assault,Bushrod,2007
73,140,assault,Bushrod,2008
74,63,assault,Bushrod,2009
75,71,assault,Bushrod,2010
76,66,assault,Bushrod,2011
77,51,assault,Bushrod,2012
78,42,assault,Bushrod,2013
79,37,assault,Bushrod,2014
80,25,assault,Bushrod,2015
81,15,assault,Caballo Hills,2007
82,13,assault,Caballo Hills,2008
83,5,assault,Caballo Hills,2009
84,7,assault,Caballo Hills,2010
85,2,assault,Caballo Hills,2011
86,2,assault,Caballo Hills,2012
87,7,assault,Caballo Hills,2013
88,1,assault,Caballo Hills,2014
89,4,assault,Caballo Hills,2015
90,277,assault,Castlemont,2007
91,246,assault,Castlemont,2008
92,116,assault,Castlemont,2009
93,95,assault,Castlemont,2010
94,85,assault,Castlemont,2011
95,138,assault,Castlemont,2012
96,112,assault,Castlemont,2013
97,127,assault,Castlemont,2014
98,44,assault,Castlemont,2015
99,28,assault,Chabot Park,2007
100,13,assault,Chabot Park,2008
101,10,assault,Chabot Park,2009
102,14,assault,Chabot Park,2010
103,6,assault,Chabot Park,2011
104,15,assault,Chabot Park,2012
105,6,assault,Chabot Park,2013
106,5,assault,Chabot Park,2014
107,131,assault,Chinatown,2007
108,150,assault,Chinatown,2008
109,77,assault,Chinatown,2009
110,70,assault,Chinatown,2010
111,45,assault,Chinatown,2011
112,87,assault,Chinatown,2012
113,89,assault,Chinatown,2013
114,105,assault,Chinatown,2014
115,57,assault,Chinatown,2015
116,54,assault,Civic Center,2007
117,68,assault,Civic Center,2008
118,35,assault,Civic Center,2009
119,34,assault,Civic Center,2010
120,43,assault,Civic Center,2011
121,41,assault,Civic Center,2012
122,59,assault,Civic Center,2013
123,57,assault,Civic Center,2014
124,34,assault,Civic Center,2015
125,6,assault,Claremont,2007
126,4,assault,Claremont,2008
127,3,assault,Claremont,2009
128,8,assault,Claremont,2010
129,6,assault,Claremont,2011
130,6,assault,Claremont,2012
131,4,assault,Claremont,2013
132,1,assault,Claremont,2014
133,94,assault,Clawson,2007
134,109,assault,Clawson,2008
135,37,assault,Clawson,2009
136,50,assault,Clawson,2010
137,100,assault,Clawson,2011
138,58,assault,Clawson,2012
139,61,assault,Clawson,2013
140,37,assault,Clawson,2014
141,24,assault,Clawson,2015
142,75,assault,Cleveland Heights,2007
143,83,assault,Cleveland Heights,2008
144,32,assault,Cleveland Heights,2009
145,38,assault,Cleveland Heights,2010
146,31,assault,Cleveland Heights,2011
147,31,assault,Cleveland Heights,2012
148,44,assault,Cleveland Heights,2013
149,30,assault,Cleveland Heights,2014
150,12,assault,Cleveland Heights,2015
151,184,assault,Clinton,2007
152,181,assault,Clinton,2008
153,91,assault,Clinton,2009
154,70,assault,Clinton,2010
155,104,assault,Clinton,2011
156,122,assault,Clinton,2012
157,85,assault,Clinton,2013
158,76,assault,Clinton,2014
159,29,assault,Clinton,2015
160,72,assault,Coliseum,2007
161,108,assault,Coliseum,2008
162,63,assault,Coliseum,2009
163,67,assault,Coliseum,2010
164,50,assault,Coliseum,2011
165,66,assault,Coliseum,2012
166,63,assault,Coliseum,2013
167,71,assault,Coliseum,2014
168,23,assault,Coliseum,2015
169,167,assault,Coliseum Industrial,2007
170,172,assault,Coliseum Industrial,2008
171,98,assault,Coliseum Industrial,2009
172,92,assault,Coliseum Industrial,2010
173,91,assault,Coliseum Industrial,2011
174,97,assault,Coliseum Industrial,2012
175,78,assault,Coliseum Industrial,2013
176,92,assault,Coliseum Industrial,2014
177,38,assault,Coliseum Industrial,2015
178,16,assault,Columbia Gardens,2007
179,25,assault,Columbia Gardens,2008
180,21,assault,Columbia Gardens,2009
181,14,assault,Columbia Gardens,2010
182,16,assault,Columbia Gardens,2011
183,15,assault,Columbia Gardens,2012
184,17,assault,Columbia Gardens,2013
185,24,assault,Columbia Gardens,2014
186,4,assault,Columbia Gardens,2015
187,239,assault,Cox,2007
188,198,assault,Cox,2008
189,94,assault,Cox,2009
190,117,assault,Cox,2010
191,99,assault,Cox,2011
192,124,assault,Cox,2012
193,113,assault,Cox,2013
194,105,assault,Cox,2014
195,47,assault,Cox,2015
196,6,assault,Crestmont,2007
197,7,assault,Crestmont,2008
198,3,assault,Crestmont,2009
199,2,assault,Crestmont,2010
200,3,assault,Crestmont,2011
201,3,assault,Crestmont,2012
202,4,assault,Crestmont,2013
